Logging to ./multi.log
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 18.7     |
|    ep_rew_mean     | -71      |
| time/              |          |
|    fps             | 20       |
|    iterations      | 1        |
|    time_elapsed    | 24       |
|    total_timesteps | 512      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 29          |
|    ep_rew_mean          | 3.71        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 2           |
|    time_elapsed         | 46          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.011621517 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | -0.00036    |
|    learning_rate        | 0.001       |
|    loss                 | 1.18e+03    |
|    n_updates            | 2           |
|    policy_gradient_loss | 0.00298     |
|    std                  | 1           |
|    value_loss           | 1.18e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.4        |
|    ep_rew_mean          | 32.7        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 3           |
|    time_elapsed         | 71          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.015349889 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.664       |
|    learning_rate        | 0.001       |
|    loss                 | 0.142       |
|    n_updates            | 4           |
|    policy_gradient_loss | -0.0136     |
|    std                  | 1           |
|    value_loss           | 0.453       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 29.3        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 4           |
|    time_elapsed         | 94          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.013519565 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.797       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0803      |
|    n_updates            | 6           |
|    policy_gradient_loss | -0.0086     |
|    std                  | 1           |
|    value_loss           | 0.371       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.8        |
|    ep_rew_mean          | -13.6       |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 1           |
|    time_elapsed         | 25          |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.022523023 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | 0.802       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0607      |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.0127     |
|    std                  | 1           |
|    value_loss           | 0.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.4        |
|    ep_rew_mean          | 49.9        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 2           |
|    time_elapsed         | 47          |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.012963053 |
|    clip_fraction        | 0.0996      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | 0.2         |
|    learning_rate        | 0.001       |
|    loss                 | 0.0545      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00901    |
|    std                  | 1.01        |
|    value_loss           | 0.442       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.9        |
|    ep_rew_mean          | 85.6        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 3           |
|    time_elapsed         | 70          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.011174392 |
|    clip_fraction        | 0.0957      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.28       |
|    explained_variance   | 0.621       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0668      |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.000578   |
|    std                  | 1.01        |
|    value_loss           | 0.245       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.7        |
|    ep_rew_mean          | 86.8        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 4           |
|    time_elapsed         | 93          |
|    total_timesteps      | 2048        |
